MUNICIPIO,NOMBRE_MUNICIPIO,SECCION,CASILLA,NOMINAL,PAN,PRI,PRD,PVEM,PT,MC,PANAL,MORENA,PES,PAN_MC,PT_MORENA_PES,PT_MORENA,PT_PES,MORENA_PES,INDEPENDIENTE_1,INDEPENDIENTE_2,INDEPENDIENTE_3,INDEPENDIENTE_4,INDEPENDIENTE_5,INDEPENDIENTE_6,INDEPENDIENTE_7,INDEPENDIENTE_8,INDEPENDIENTE_9,INDEPENDIENTE_10,INDEPENDIENTE_11,INDEPENDIENTE_12,INDEPENDIENTE_13,INDEPENDIENTE_14,INDEPENDIENTE_15,INDEPENDIENTE_16,NO_REG,NULOS
2,ALDAMA,21,B1,673,50,32,124,0,4,3,148,30,12,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,ALDAMA,22,B1,470,20,8,68,3,7,1,110,23,7,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2,ALDAMA,22,C1,470,17,13,65,1,2,3,120,27,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,ALDAMA,23,B1,528,33,21,74,2,2,1,116,29,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,ALDAMA,23,C1,528,34,20,94,0,8,0,100,36,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
2,ALDAMA,24,B1,477,35,28,97,1,4,4,91,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
2,ALDAMA,24,C1,476,62,24,73,5,4,1,87,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8
2,ALDAMA,25,B1,675,55,30,91,2,1,0,116,48,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
2,ALDAMA,26,B1,682,55,28,118,3,7,2,132,47,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,ALDAMA,27,B1,681,31,23,90,3,7,1,134,27,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
2,ALDAMA,27,C1,681,30,26,87,1,3,1,127,44,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
2,ALDAMA,28,B1,525,33,24,73,1,4,1,87,17,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
2,ALDAMA,28,C1,525,29,29,76,3,9,1,109,21,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,ALDAMA,28,C2,524,26,27,66,3,6,3,139,16,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2,ALDAMA,30,B1,257,45,18,7,2,0,0,73,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
2,ALDAMA,31,B1,159,5,18,11,0,0,0,33,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,ALDAMA,32,B1,537,72,31,15,4,2,1,90,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
2,ALDAMA,34,B1,584,36,43,78,6,3,0,92,36,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2,ALDAMA,34,C1,584,40,57,71,5,2,2,97,31,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
2,ALDAMA,34,C2,584,35,45,69,4,9,2,90,42,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
2,ALDAMA,35,B1,284,23,18,27,0,3,0,68,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,ALDAMA,36,B1,160,17,15,11,1,0,1,37,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,ALDAMA,37,B1,146,18,18,10,3,0,1,11,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,ALDAMA,3218,B1,598,112,29,14,7,5,10,65,70,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
2,ALDAMA,3218,C1,597,95,31,14,6,6,6,65,83,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
3,ALLENDE,38,B1,556,169,187,0,2,2,6,23,12,0,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,ALLENDE,38,C1,556,198,153,0,0,1,5,23,8,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,ALLENDE,39,B1,500,149,146,0,3,3,16,13,9,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,ALLENDE,39,C1,500,128,160,0,6,0,8,20,9,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,ALLENDE,40,B1,678,213,207,0,2,6,7,11,15,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
3,ALLENDE,41,B1,458,141,141,0,4,1,5,9,8,13,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,ALLENDE,41,C1,457,140,140,0,4,2,6,8,10,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,ALLENDE,43,B1,487,60,100,0,3,7,5,9,34,3,3,4,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,ALLENDE,46,B1,139,39,30,0,1,2,0,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3,ALLENDE,47,B1,153,36,29,0,0,2,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,ALLENDE,48,B1,275,62,66,0,0,5,11,1,27,3,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,ALLENDE,49,B1,208,30,97,0,0,2,0,2,15,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,ALLENDE,50,B1,183,49,47,0,0,1,9,3,8,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
3,ALLENDE,51,B1,147,18,50,0,0,1,0,3,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
3,ALLENDE,52,B1,249,61,50,0,1,2,5,5,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,ALLENDE,53,B1,661,171,142,0,0,3,5,12,42,5,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
3,ALLENDE,54,B1,552,101,156,0,2,7,12,8,64,1,4,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
3,ALLENDE,55,B1,500,146,182,0,1,2,14,18,4,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,AQUILES SERDAN,56,B1,612,102,277,14,3,1,3,3,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
4,AQUILES SERDAN,56,C1,612,131,254,12,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
4,AQUILES SERDAN,56,C2,612,125,270,9,1,0,0,4,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,AQUILES SERDAN,57,B1,401,61,150,3,2,1,0,2,21,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
4,AQUILES SERDAN,59,B1,529,79,210,14,3,4,5,4,17,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,AQUILES SERDAN,59,C1,529,82,198,5,6,0,3,3,20,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
4,AQUILES SERDAN,59,E1,664,54,160,27,2,1,1,5,44,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
4,AQUILES SERDAN,59,E1 C1,663,34,185,26,11,7,6,8,36,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
4,AQUILES SERDAN,59,E1 C2,663,40,169,32,6,3,3,9,45,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
4,AQUILES SERDAN,59,E1 C3,663,45,171,24,9,1,7,4,47,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,AQUILES SERDAN,59,E1 C4,663,42,190,16,6,3,6,4,44,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,AQUILES SERDAN,59,E1 C5,663,45,152,27,8,3,3,7,42,12,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4,AQUILES SERDAN,59,E1 C6,663,39,182,25,5,4,3,3,51,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,AQUILES SERDAN,59,E2,685,45,104,19,6,10,5,6,73,14,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13
4,AQUILES SERDAN,59,E2 C1,685,44,116,26,7,7,12,2,58,11,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
4,AQUILES SERDAN,59,E2 C2,685,44,88,30,8,5,3,7,72,14,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
4,AQUILES SERDAN,59,E2 C3,685,52,107,20,7,3,12,3,70,13,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
