MUNICIPIO,SECCION,CASILLA,PAN,PRI_PVEM_PTP_PANAL,PRD,MC,MORENA,INDEPENDIENTE,NO_REG,NULOS
ASCENSIÓN,72,B,70,139,0,21,3,9,0,15
ASCENSIÓN,72,C1,92,136,5,7,0,8,0,7
ASCENSIÓN,73,B,43,116,2,2,1,8,0,3
ASCENSIÓN,74,B,59,98,1,6,3,8,0,11
ASCENSIÓN,74,ES1,38,59,1,4,4,17,0,3
ASCENSIÓN,75,B,67,133,4,5,3,6,0,9
ASCENSIÓN,76,B,45,103,3,5,1,9,0,8
ASCENSIÓN,76,C1,63,114,4,8,5,3,0,8
ASCENSIÓN,78,B,103,96,0,10,0,5,0,5
ASCENSIÓN,78,C1,128,55,1,23,1,3,0,6
ASCENSIÓN,79,B,97,74,0,9,5,7,0,5
ASCENSIÓN,79,C1,89,81,2,6,5,8,0,7
ASCENSIÓN,80,B,38,25,0,4,0,4,0,0
ASCENSIÓN,81,B,66,22,1,1,1,7,0,1
ASCENSIÓN,81,C1,101,26,2,2,4,2,0,0
BACHINIVA,82,B,262,90,1,0,0,6,0,5
BACHINIVA,83,B,244,131,2,1,0,4,0,15
BACHINIVA,84,B,55,106,4,2,0,2,0,7
BACHINIVA,85,B,91,93,3,0,1,7,0,2
BACHINIVA,86,B,18,40,2,0,0,1,0,3
BACHINIVA,87,B,180,110,1,0,0,2,0,9
BACHINIVA,88,B,166,64,6,0,0,8,0,19
BACHINIVA,89,B,86,52,1,0,0,6,0,5
BACHINIVA,90,B,86,86,0,0,0,1,0,8
BACHINIVA,91,B,46,28,1,0,0,2,0,1
BACHINIVA,92,B,61,16,0,0,0,1,0,1
BACHINIVA,94,B,59,49,1,0,0,2,0,3
BACHINIVA,95,B,99,70,0,0,0,2,0,4
BACHINIVA,97,B,58,44,0,0,0,0,0,1
BACHINIVA,98,B,94,32,1,0,0,0,0,6
BACHINIVA,99,B,153,83,2,0,0,7,0,8
BACHINIVA,100,B,159,75,8,0,0,3,0,13
BACHINIVA,101,B,119,77,10,0,1,7,0,2
BALLEZA,102,B,232,171,0,0,0,12,0,12
BALLEZA,102,C1,206,205,0,0,0,12,1,14
